id,name,code,type,cost,price,price2,description,model,category_id,created_at,updated_at,deleted_at
64,RAM DDR4 16G,0,قطع غيار,0.0,0.0,0.0,,,,2024-01-04 15:00:27,2024-01-04 15:00:27,
65,RAM DDR4 16G,0,قطع غيار,0.0,0.0,0.0,,,,2024-01-04 15:02:15,2024-01-04 15:02:15,
66,RAM DDR4 16G,0,قطع غيار,0.0,0.0,0.0,,,,2024-01-04 15:10:19,2024-01-04 15:10:19,
67,GJKNX,0,قطع غيار,1500.0,0.0,0.0,,,,2024-02-21 16:52:50,2024-02-21 16:52:50,
68,Dell Charger Orignal Pin 65W,0,قطع غيار,500.0,0.0,0.0,,,,2024-02-21 16:53:45,2024-02-21 16:53:45,
69,Hp pavilion gaming A16,0,قطع غيار,0.0,0.0,0.0,تكلفه علينا 450 من تريخ 2024/2/24,,,2024-02-25 14:19:52,2024-02-25 14:19:52,
70,inspection charge,5,خدمه,0.0,150.0,0.0,,,,2024-04-01 17:18:00,2024-04-01 17:18:15,
71,Lenovo Charger 65W HC,0,قطع غيار,185.0,350.0,250.0,,,17,2025-10-13 19:11:45,2025-10-13 19:11:45,
72,Dell Pin Charger 65W HC,0,قطع غيار,185.0,0.0,0.0,,,17,2025-10-13 19:13:22,2025-10-13 19:13:22,
73,Dell New Pin Charger 65W HC,0,قطع غيار,185.0,0.0,0.0,,,,2025-10-13 19:13:49,2025-10-13 19:13:49,
74,HP Pin Charger 90W HC,0,قطع غيار,185.0,0.0,0.0,,,,2025-10-13 19:19:52,2025-10-13 19:26:55,
75,HP Invy Charger 65W HC,0,قطع غيار,185.0,0.0,0.0,,,,2025-10-13 19:20:28,2025-10-13 19:20:28,
76,High Quality Power Cable,0,قطع غيار,45.0,0.0,0.0,,,,2025-10-13 19:21:15,2025-10-13 19:21:15,
77,Install Autodesk Programs,0,قطع غيار,0.0,150.0,0.0,,,,2025-10-13 23:10:55,2025-10-13 23:13:10,
78,Autodesk Subscription For 29 Month,0,قطع غيار,0.0,1350.0,0.0,,,,2025-10-13 23:17:01,2025-10-13 23:17:01,
