service_name,count,total_revenue,avg_price,min_price,max_price,first_seen_date,first_invoice_id
Fix Power Socket,2,500.00,250.00,250.00,250.00,2023-12-20,120
Fix Fan Free,2,0.00,0.00,0.00,0.00,2023-12-27,149
Regular maintenance,2,1100.00,550.00,450.00,650.00,2023-12-30,156
Ram DDR4 2400 16G,2,2700.00,1350.00,1350.00,1350.00,2024-01-01,166
HDD 1T,2,1300.00,650.00,0.00,1300.00,2024-01-01,166
install Os,2,300.00,150.00,150.00,150.00,2024-01-01,167
Autocad 2021,2,200.00,100.00,100.00,100.00,2024-01-16,214
New Battery High Copy,2,1625.00,812.50,750.00,875.00,2024-01-17,224
Change keyboard,2,2750.00,1375.00,550.00,2200.00,2024-01-26,248
install OS,2,150.00,75.00,0.00,150.00,2024-01-27,251
Change Full Hosing,2,12050.00,6025.00,5200.00,6850.00,2024-02-06,285
Add Key,2,500.00,250.00,150.00,350.00,2024-02-06,285
Fix Hosing A-C,2,1500.00,750.00,650.00,850.00,2024-02-12,298
Fix Full Hosing,2,1750.00,875.00,650.00,1100.00,2024-02-28,375
Fix Lighting Circuit,2,1890.00,945.00,650.00,1240.00,2024-03-03,396
Fix T.C Socket,2,300.00,150.00,150.00,150.00,2024-03-01,380
Fix Charging Issue,2,2600.00,1300.00,350.00,2250.00,2024-03-07,406
Install HD + Install Windows + Basic Programs + Orignal Drivers + Cady,2,700.00,350.00,350.00,350.00,2024-03-19,430
Add Ram 4G,2,1275.00,637.50,425.00,850.00,2024-03-19,430
battery,2,3200.00,1600.00,1100.00,2100.00,2024-03-26,446
Reprograming Bios,2,350.00,175.00,0.00,350.00,2024-04-03,461
Van installation,2,2450.00,1225.00,600.00,1850.00,2024-04-15,482
Screen installation,2,5900.00,2950.00,1550.00,4350.00,2024-04-16,484
Cooling System Maintenance pro,2,1300.00,650.00,650.00,650.00,2024-04-17,487
RePrograming Bios,2,800.00,400.00,250.00,550.00,2024-04-01,455
كاش عم منصور,2,800.00,400.00,400.00,400.00,2024-04-30,508
اصلاح هاوسينج,2,1500.00,750.00,550.00,950.00,2024-05-13,525
Upgread To SSD 128G + install Windows +Basic Programs and Orignal Drivers + Cady and,2,2200.00,1100.00,1100.00,1100.00,2024-05-18,538
Install OS Free,2,0.00,0.00,0.00,0.00,2024-05-01,512
Change New Screen 15.6 Slim,2,3950.00,1975.00,1650.00,2300.00,2024-02-24,353
Full test,2,150.00,75.00,0.00,150.00,2024-06-24,585
RAM 2*8G,2,3300.00,1650.00,1550.00,1750.00,2024-06-26,588
Cooling System Maintenance\,2,1100.00,550.00,450.00,650.00,2024-07-01,600
Change New Screen 15.6 HD,2,3900.00,1950.00,1950.00,1950.00,2024-07-10,615
freighter,2,1100.00,550.00,450.00,650.00,2024-07-14,627
Fix Bios And ReProgramming,2,1350.00,675.00,350.00,1000.00,2024-07-02,601
تغيير كيبورد,2,1100.00,550.00,550.00,550.00,2024-08-20,706
Fix Power SW,2,250.00,125.00,0.00,250.00,2024-09-12,745
تغيير بطاريه,2,2200.00,1100.00,950.00,1250.00,2024-09-18,758
2350,2,4400.00,2200.00,2050.00,2350.00,2024-09-24,776
Change New Fan High Quilty,2,1900.00,950.00,650.00,1250.00,2024-09-25,782
TONER CARTRIDGE A85-A35-A36,2,550.00,275.00,275.00,275.00,2024-10-02,792
Reset & Fix Bios,2,1700.00,850.00,750.00,950.00,2024-10-06,794
سوفت وير,2,300.00,150.00,150.00,150.00,2024-10-08,797
toner hp 1018,2,600.00,300.00,300.00,300.00,2024-11-12,856
Add New SSD 128G + Install HD + Install Windows + Basic Programs + Orignal Drivers,2,2100.00,1050.00,1000.00,1100.00,2024-11-19,866
Change Keyboard,2,3100.00,1550.00,1250.00,1850.00,2024-12-21,913
Cooling System Maintenance Thermal Grezzly Lequid Metal,2,3700.00,1850.00,1850.00,1850.00,2024-12-29,926
تعم عمل خصم لكل التكاليف عدي تكاليف الخامات ودا بسبب ان الجهاز اتعمله صيانه دوريه من فتره و حضرتك حاسبت عليها لاكن كانت بدون نتيجه,2,-2200.00,-1100.00,-1100.00,-1100.00,2024-12-29,926
Add SSD 265G + Install HD + Install Windows + Basic Programs + Orignal Drivers,2,3300.00,1650.00,1450.00,1850.00,2025-01-07,943
بطاريه,2,1850.00,925.00,900.00,950.00,2025-01-18,957
Fix RAM Port,2,1700.00,850.00,750.00,950.00,2025-01-23,972
تغيير  rtc,2,1900.00,950.00,950.00,950.00,2025-02-06,998
اصلاح هاوسنج,2,1065.00,532.50,515.00,550.00,2025-02-10,1003
New Charger,2,850.00,425.00,400.00,450.00,2025-02-06,1000
Full Test,2,150.00,75.00,0.00,150.00,2025-02-23,1024
تركيب هارد -كادي-ويندوز,2,2000.00,1000.00,1000.00,1000.00,2025-02-27,1046
شاشه 15.6,2,6100.00,3050.00,2350.00,3750.00,2025-03-04,1051
Change Hosing CD,2,3750.00,1875.00,1450.00,2300.00,2025-03-10,1064
deduct,2,-500.00,-250.00,-300.00,-200.00,2025-03-11,1065
Deposit,2,-11250.00,-5625.00,-6750.00,-4500.00,2024-11-30,876
Change USB Socket,2,650.00,325.00,100.00,550.00,2025-05-11,1118
Fix Bios And Reprograming,2,750.00,375.00,150.00,600.00,2025-05-31,1136
Fix Cinter Pin Circuit,2,800.00,400.00,350.00,450.00,2025-05-31,1142
Change Thermal Past,2,350.00,175.00,0.00,350.00,2025-05-31,1141
"Removed liquid residue, replaced all damaged components, and resoldered the affected parts to restore functionality.",2,3100.00,1550.00,950.00,2150.00,2025-06-17,1166
Change New Keyboard Original,2,2700.00,1350.00,1350.00,1350.00,2025-06-17,1166
Replaced the T.C port with a new one and repaired/rebuilt the damaged board traces,2,2700.00,1350.00,1250.00,1450.00,2025-07-21,1203
a12 1020,2,500.00,250.00,250.00,250.00,2025-08-20,1276
Delivery Service,2,764.00,382.00,50.00,714.00,2025-09-09,1299
حباره توشيبا T-2323P,2,3600.00,1800.00,1800.00,1800.00,2025-09-15,1311
Change New Screen 15.6 High Quilty,2,3600.00,1800.00,1650.00,1950.00,2025-09-29,1336
Change New Battery Original Quilty,2,4500.00,2250.00,1850.00,2650.00,2025-10-06,1352
Install Software,1,50.00,50.00,50.00,50.00,2023-10-07,2
55للاب,1,555.00,555.00,555.00,555.00,2023-10-09,28
Test,1,500.00,500.00,500.00,500.00,2023-11-25,30
Fix Charging Circuit And Battery,1,1450.00,1450.00,1450.00,1450.00,2023-11-26,31
Fix Track Pad,1,450.00,450.00,450.00,450.00,2023-11-26,31
Cooliing System Maintenance,1,450.00,450.00,450.00,450.00,2023-11-26,31
Active Window And Office,1,50.00,50.00,50.00,50.00,2023-11-26,32
Install SW + Cady,1,250.00,250.00,250.00,250.00,2023-11-26,35
Cooling System Maintenance x6,1,900.00,900.00,900.00,900.00,2023-11-26,39
Fix Power Circuit (Lenovo),1,450.00,450.00,450.00,450.00,2023-11-26,39
Dell KB,1,150.00,150.00,150.00,150.00,2023-11-26,39
ReProgramming Bios Precisiom 3510,1,150.00,150.00,150.00,150.00,2023-11-26,39
Change 2 USB For HP,1,300.00,300.00,300.00,300.00,2023-11-26,39
Clean Touch Pad Flat,1,0.00,0.00,0.00,0.00,2023-11-26,42
Fix Power Button,1,350.00,350.00,350.00,350.00,2023-11-26,34
Change New Screen FHD Orignal,1,2050.00,2050.00,2050.00,2050.00,2023-11-28,60
Install OS + Cady + Assembly,1,300.00,300.00,300.00,300.00,2023-11-28,63
SW install,1,150.00,150.00,150.00,150.00,2023-11-28,62
Fix Wi-Fi and Lan,1,100.00,100.00,100.00,100.00,2023-11-28,46
Change New Charger Cable Original,1,450.00,450.00,450.00,450.00,2023-12-03,67
Change Hinges,1,250.00,250.00,250.00,250.00,2023-12-03,69
Unlock,1,550.00,550.00,550.00,550.00,2023-12-04,77
Change New Screen FHD Orignal 120HZ,1,3600.00,3600.00,3600.00,3600.00,2023-12-04,74
Add Ram 2x4G,1,550.00,550.00,550.00,550.00,2023-12-04,71
Fix Speaker,1,0.00,0.00,0.00,0.00,2023-12-07,82
New SSD 256G NGU930R0121090S30W,1,900.00,900.00,900.00,900.00,2023-12-11,96
assumbly + Install Windows + Basic Programs + Orignal Drivers + Cady,1,300.00,300.00,300.00,300.00,2023-12-11,96
New Dell Charger Orignal Pan 130W,1,650.00,650.00,650.00,650.00,2023-12-11,96
Power Cable Orignal x2,1,110.00,110.00,110.00,110.00,2023-12-11,96
New Screen 15.6 Orignal,1,1750.00,1750.00,1750.00,1750.00,2023-11-28,47
RAM 8G PC3L,1,500.00,500.00,500.00,500.00,2023-11-28,47
Assembly + Install Windows + Basic Programs + Orignal Drivers + Cady,1,300.00,300.00,300.00,300.00,2023-12-05,80
inspicsin Charge,1,100.00,100.00,100.00,100.00,2023-12-10,89
install os free,1,0.00,0.00,0.00,0.00,2023-12-04,73
Fix liquid spill Damage,1,1350.00,1350.00,1350.00,1350.00,2023-12-13,101
Cooling System Maintenance Free warranty,1,0.00,0.00,0.00,0.00,2023-12-13,101
Change New RTC Battery High Quilty,1,150.00,150.00,150.00,150.00,2023-12-12,100
Change MB,1,2400.00,2400.00,2400.00,2400.00,2023-12-12,97
SSD 512G 2.5 Insh,1,1450.00,1450.00,1450.00,1450.00,2023-12-14,105
Assembly - Install Windows + Basic Programs + Orignal Drivers,1,250.00,250.00,250.00,250.00,2023-12-14,105
Precision 3510,1,350.00,350.00,350.00,350.00,2023-12-17,114
Precision 7520,1,450.00,450.00,450.00,450.00,2023-12-17,114
اصلاح مشكله الباور,1,650.00,650.00,650.00,650.00,2023-12-16,110
اصلاح المفصلات وصب قواعد للهاوسنج,1,350.00,350.00,350.00,350.00,2023-12-16,110
Autodisk 3x75,1,225.00,225.00,225.00,225.00,2023-12-20,124
Adoby 2x50,1,100.00,100.00,100.00,100.00,2023-12-20,124
Buirn OS to Flash,1,0.00,0.00,0.00,0.00,2023-12-21,128
